P. Teq Mean (K),P. Ts Mean (K)
1476.3,1509.5
1226.7,1261
1062.4,1099.5
740.8,779.7
627,
1183.6,1217.4
833.3,876.1
877.6,915.7
679.1,724.8
502.7,531.1
412.9,440.2
783.7,825
535.1,583.2
1316.6,1352.1
1054.1,1090.7
1323,1355.6
993.7,1028.2
1020.8,1058.1
768.7,809.2
551.5,588.8
409.9,446.2
599.6,634.2
474.8,509.6
952,
832,
646.6,684.7
508.9,549.3
1000.4,1033.7
833.3,864.3
802.9,832.4
499.5,530.1
1040.5,1080.1
635.2,674.2
789.1,818.8
633,662.1
1437.2,
1025.7,
1145.8,1178.6
912.7,946.9
1062.7,1099.5
910.4,947.8
1041.6,1082.2
904.7,946.1
569.4,602.6
334.3,371.6
399.6,454
508.6,
541.1,591
296.4,
737.6,769.3
524.6,557.5
,
623.3,655.5
508.1,546.8
391.6,435.5
943.6,984.8
760.3,799.7
890.5,932.5
599.7,646.4
,
1334.7,1370.7
1155.9,1196
1021.9,1059.9
943.8,982.7
1123.3,1159.7
568.2,610.6
,
732.3,768.8
680.8,722.8
785.2,831.1
558.2,
1328.8,1374
1071.8,1116.4
1539,1591.4
401.5,459.7
947.7,
1000,1043.8
723.8,
1672.1,
306,357.2
433.9,
505.3,
250.2,
400,
184.4,
1024,
1341.6,
1112.8,
273.2,
667.4,
458.4,
1031.7,1060.4
950.6,977.3
855.8,890.2
807.5,
1389,
914.7,
1579.5,
291.6,
504.7,553.3
306.2,352.7
276,310.6
296.4,344
272.5,316.1
173.8,214.9
233,270.5
247,295.5
943.6,962.5
872.5,894.9
786.1,809.6
731.3,754.9
661.9,688.9
421.5,465.5
358,398.6
301.5,343.4
575,616.5
461.1,502.9
386.6,426.7
886.4,
988,
916.1,961.7
659.8,
757.4,
929.2,
1179.1,1209.2
261.5,302.5
258.6,
838.2,877.6
228.3,
178.4,
222.4,
798.6,847.4
539.2,588
234.5,
708.6,
203,
289.1,
364.4,
839.1,
670.9,
547.4,
833.6,
1180,
1015,
512.6,
1228.7,1265.1
727.1,774.9
482.1,
695.2,
872.3,
1556.7,
887.4,
860.8,
1065.1,
986.4,1036.7
793,
673.2,719
638.3,
657.8,704.2
1306.8,
883,933.4
356.5,405.5
747.2,
777.6,825.6
1309.8,
448.3,
657.9,
483.7,
1329.4,
550.9,
1341.5,
1097.4,
739.2,
1663.1,
1044.9,
1045.6,
764.9,813.4
1249.3,
837.1,
877.5,924.4
907.9,
1060.9,
1282.5,
939.9,
361.3,401.9
330.1,
1095,
1413.4,1450.4
705.5,746.6
593.7,644
810.9,861
298.7,
645.4,
616.8,663.9
1244.4,1286.3
570.3,609.2
1005.6,
455.1,
851.8,898
522,568.1
733.4,774.7
1141.9,1175.7
826.7,
780.8,
906.3,951
981,1025
1585.5,1617.7
716,
1100.7,1145.7
982.5,
695.7,741.6
1613.1,1656.6
865.2,910.2
500.8,
448.6,
634.4,
434.2,
723.4,771
1245.5,1294.4
1362.5,
1206.9,1245.3
392,439.8
350.6,
174.4,212.1
348.6,
1532.5,
708.7,749
532,582.4
759.1,805.4
805.2,
1233.8,
745.4,
1018.2,
451.7,
323.4,
763.5,
498.1,
1078.2,
975.1,
225,
1345.3,
744.9,
788.5,836.1
1308.3,
497.3,546.2
669.7,
291.5,333.5
447.9,
993.3,
643.8,
517.6,
1104.2,
1092,
561.5,608.2
582.7,630.5
429.2,477.1
530.5,
1022.9,1072.8
991.8,
583.5,
652.1,
863.5,912.6
836.1,885.3
568.2,
474.1,
1335.8,1380.7
818.5,863.4
574.1,
529.3,
640.4,
898.7,946.6
646.5,
1221.5,
1328.9,
753.7,801.2
1136.2,
609.7,657.6
1107.7,
402.8,
1336.6,1385.8
703.5,
685.5,732.5
525.3,
793.2,
745.9,794.8
1026.4,1065.9
592.3,
536.9,
847.8,891.8
808.1,854
665.2,
364.6,
999,1036.3
635.1,
1092.9,1131.6
1232.5,1263
725.5,
1751.7,1782.5
992.4,
1060.3,
1024.8,
367.4,
1353.9,1395.1
1138.4,
707.1,755.2
636.6,685.8
589.3,631.5
831.9,881.5
399.3,
762.5,799.8
1242.9,
1115.6,
1837.9,1879.6
892.4,
899.5,947.7
459.2,505.6
776.4,
843.7,892.1
897.5,942.5
1104,1137.6
769,817.1
687.8,
819,
822.9,860.9
343,
828,
497.2,544.5
973.7,1014.7
1227.2,1271.1
796.7,
597.1,
992.6,
915.7,958.9
951.9,1000.9
613.2,
901.2,944.7
1537.5,
967.9,
1821.8,
1411.5,1457.5
682.3,727.3
771.5,806.8
685.5,
581,628.8
1461.2,
593.1,642
1012.8,1063
792.5,837
2010.7,2039.8
808.2,854.1
588.8,
1431.1,
632.1,
994.7,1035.6
527.3,577.7
633.8,
674.4,
495.3,542.2
901.3,
1342.9,
549.7,
1146.2,1195.5
459.8,
770.6,
1270,
1270,
1069.6,
508.7,559.1
1019.2,
829.8,871.5
1057.9,1107.7
403.6,
958.1,
865.5,
690.3,
1249.7,1299.3
481,
720.1,
1293.1,1337.9
865.4,
1692.1,
1477,
497.5,
1125.5,
588.3,
997,
458.1,504
579.2,
549.6,
949.7,
1038,
1187.8,
1067.8,
672.1,
507.3,
407.9,
723.4,
735.6,
1286.7,
1120.9,
243.4,289.6
461,
1111.9,1149.3
1203.1,
576.7,
1044.5,1088.3
528.5,
534.6,
241.9,
933.8,983.9
981.7,
870.1,
671.5,
993.1,1042.6
1703.3,
1055.5,
1022.1,
832.8,
1178,
399.3,
1045.1,
1084.8,
464.2,
579.4,
938.8,
969,
1165.5,
972.4,
1204.6,
413.3,460.2
907.9,944.4
585.8,
833.6,
655.1,
990.1,
304.6,349.3
536.2,586.6
729.9,
1061.3,
1095.1,
635.9,
1095.5,1131.3
749.2,790.1
869,915.8
1103.9,1138.3
445.7,
995.1,
549.7,
995.9,
1315.7,1356.6
614.2,664.1
593.6,
657.5,701.6
788.5,833.6
1331.7,1374.2
1016.6,1053
1429.6,1464.2
1974.7,2012.4
993.8,1044
1356.9,1398.6
833.9,880.2
1132.1,1171.8
539.2,587.2
766.6,
1167.1,1206.3
808.6,853.9
1238.9,
1412.4,1448.4
862.3,903.4
628.1,677.7
1091.1,
321.7,
653.3,696.1
1098.5,
850.7,893.5
641.7,689.9
1502.2,1537.8
1063.9,1102.2
921.7,964.8
809.9,853
1185.2,1223.9
1306,
1615.5,1651
857.5,894.3
583.7,622.8
940.3,981.9
471.1,502.6
2087.8,2118.7
629.6,
344.5,
1022.5,1051.6
650,690.4
1048.1,
360.5,410.2
1161.3,1198
1033.4,
909.3,955.6
631.2,678.1
956.4,
875,919.6
1105.5,1143.4
940.7,986.9
567.9,609.5
982.2,1019.2
585.2,632.1
904.2,953.4
340.8,
644.7,
526.8,571.8
487.2,
530.6,
771.5,815.9
881,915.9
766.4,
977.4,1012.3
392.2,
1508.1,1547
469.5,
1116.4,1160.6
702.3,
1211.2,
658.4,704.9
1144.2,1190.5
1379.7,
713.8,
1176.3,
798.5,
477.8,
441.3,
1211.7,1248.8
1302,1344.5
1086.6,1126.9
1242.1,1285.8
1251.2,1291
966.7,1010.1
1235.7,1272.1
457,
1743.3,1782.9
933.1,979.3
883.5,925.3
1002.5,1039.1
881.2,926.9
436.6,481.9
522.1,567.3
866.9,
838.8,
617.9,
713.3,
629.9,
1407.2,
310.9,
1273.8,1314.4
1462.4,
778.8,820.4
1430.2,1475.7
626.5,676.6
1061.2,1096.6
1030.7,1072.5
322.1,
1001.5,1044.2
791.8,833.4
565.9,
1237.1,1278.8
1658.1,
933.2,
846.1,
411.9,
403.8,
526.5,
1093.1,
918.8,966.7
1073.8,1121.1
703,
1007.5,1056.8
704.5,754.8
960.7,1001.6
317.8,
986.1,1031.7
509.6,
670.9,
706.9,
1398.5,1443.5
777.5,
581.1,
649.1,
839.7,878.4
580.3,626.6
488.1,532.4
570.8,
1335.8,
1181.6,1224.3
1033.1,1069.2
848.1,890.8
977.8,1013.9
835.8,886.2
1106.7,1146.5
788.1,831.4
1093.8,1128.6
427,469.5
1323.7,1357.7
524.4,
504.7,
556,
986.3,
778.7,
809.2,849.1
292.8,
932.1,981.2
624.3,663.6
636.2,
709.9,755.9
714.9,752.8
505.8,
812.2,857.3
445,
1465,1507.5
936.4,974.9
548.7,594.9
888.3,924
1775.9,1811.9
871,910.1
1737.2,1766.9
948.7,
1444.6,
572.9,618.6
1192.4,1230.4
1332,1371.5
480.4,522.8
1075,1119
1177.6,1219.8
929.8,977.6
856.5,906
344,
463.9,
1775.9,1814.5
1092,1130
535.7,
403.5,452.2
491.7,540.1
863.7,905.7
827.6,868.1
1917.2,1951.6
548.6,595
761.2,798.6
1267.9,1305.8
652.7,702.6
375.2,421.2
799.3,836.9
753.4,792.3
508.8,
387.3,
445.2,492.6
660.4,702.7
458.4,
636.8,
386.5,432.9
464.4,
453.6,
568,
764.4,808.7
549.6,597.6
882.3,925.7
783.3,
402.1,
327.6,
354.4,
384.6,
820.3,855.8
553.6,602.1
645.8,
1156.3,
776.3,
753.1,798.8
1179,
908.5,956.6
655.2,
706.8,751.6
757.7,
666.1,712.4
385.4,
399.6,
635.5,684.3
257.6,
821.2,866.2
710.2,751.9
465,510.9
1268.7,1301.3
482.9,
758.9,805.3
1090.8,
405,449.7
568.3,608.5
1106.7,1146
325,
521.7,
531.5,
777.5,
845.2,
1075.7,1124
855,902.7
496,544.9
490,536.3
328.6,
462.1,511.1
360.8,
389.2,435
731.1,778.4
899.6,
2375.8,2415.6
267.5,
511.2,552.2
348.4,
957.7,998.4
497,
1281.9,1326.8
1680.7,1718.4
1142.6,1191.1
1332.6,1381.3
479.1,
680.7,
1439.6,1481.5
1341.3,1384
1627.8,
1005.6,1045.1
557,596.9
736.6,775.3
630.4,667.2
465.6,512.6
473.4,521.8
907.9,
954.1,991
529.1,575.7
623.7,672.9
1065.8,
1470,1516.9
388.8,
842.2,887.1
452.7,
1082.2,1121.1
328.4,376.3
680.3,728.8
550.1,599.1
417.5,
366.2,
601.8,646.7
423.5,470.7
1270.9,1301.8
1215.1,1252.5
876.4,912.9
529.6,579.7
1846.8,1877.5
866.8,910.5
863.4,
658.1,705.9
1287,1322.2
333.8,
1439,1475.7
296.1,
1404.6,1443.6
301.2,347.1
663.1,
624.4,671.4
505.5,
1037.1,
521,
776.7,818.6
497,542.9
1293.2,1325.8
675.3,716.1
642.4,674.4
798.3,838.9
718.1,757.3
880.5,
573.8,
929.5,961.9
1347.2,
1330.5,1366.6
687.8,
810.3,
266.7,
885,927.1
505.1,554.2
1390.5,1435.4
604.7,647.2
816.8,856.2
582.2,622.2
1128.3,
1298.1,1338.7
1448.6,1497.6
1877,1906.3
715.2,
620.9,661.6
1194.3,1236.4
826.7,875.8
1874.2,1914.6
888.4,936.6
1147.7,1188.7
572.4,608.9
877.8,916.3
749.5,778.8
567.7,
1187.7,1231.8
883.2,924.1
467.3,
1005.9,1038.8
1716.6,1751.1
449.1,
1683.1,1717.5
329.1,
444.7,494.5
217.1,
1942.6,1967.9
678.2,716.8
535.4,578.5
266.9,314.7
1656.8,1695.8
476.5,522.4
712.7,757.2
466,510.6
485.1,
1065.3,1101.1
810.4,846.6
263.5,
1333.6,1370.6
1419.2,
1188,1230.3
393.7,443.7
473.9,
748.2,796.2
1341.2,1377.3
720.8,765.9
1897.3,1938.5
1858.6,1896.2
965.7,1004.6
566,613
623.2,
979.5,1024.5
995.6,
569.5,
640.8,678.4
1134.1,1175.9
498.8,
1020.7,1055.1
525.8,
1005.7,1049.8
966.5,1004.5
1005.6,1049.7
480.2,525.7
1020.6,1062.1
564.7,601.5
672.5,715.8
374.6,416.7
1014.6,1059.2
426.4,
634.2,
432.9,
886.3,915.6
1228.9,1269.5
391.6,440.4
745.6,790.3
598.3,
409.2,452.6
930.3,971.3
944.1,991.3
1158.7,1200.5
1806.5,1842
473.5,
1419,1448.8
669.6,708.7
1016.4,1057.9
243.3,
691.4,736.4
908,946.3
978.3,1014.4
896.5,
1400.8,1442.4
1187.5,1226.2
945.8,978.8
402.6,449.9
851,881.8
1362,1404.1
1325.8,1374.5
1126.3,1175.3
577.1,622.4
797.9,835.2
790.5,824.6
1081.8,1130.5
760.6,809.5
833.1,879.7
501.3,547.8
497.2,544.5
1220.9,1254.1
941.8,976.4
963.9,1003.9
503.9,545.6
1409.6,1451.5
394.2,444.6
1142.2,1174
671.3,720.7
2542.7,
565.6,
1677.4,1708.3
996.2,1036.7
482.8,
642.4,692.3
375.7,419.7
446.2,480
1095.2,1132.5
786.3,831.3
1273.7,1314
850.3,899.7
591.9,
513.2,
353.5,390.9
684.5,732
731.4,
739.5,785.4
1286.7,1329.3
605.6,643
871.3,910.9
546.2,595.1
1429.4,1466.7
674.5,714.2
679.5,725.5
443.3,490.8
1036.2,1072.6
846.2,885.3
821.8,856.8
1232,1265.8
855.4,903.5
609.6,
1299.5,1333.2
420.5,
1488.4,1526.8
1294.2,1335.3
794,835
639.7,688.2
756.1,795.7
848,889.8
788.9,
857.5,904
1173.5,1209
558.6,607.6
1023.1,1059.1
1098,1136.1
1512.4,1557.4
689.9,728.6
995.7,1042
939.1,978.9
662.8,706.6
1224.1,1253.2
544.2,580.2
879.4,916.8
1080.9,1124
726.8,765.6
389.9,438
1718.4,1758.3
213.2,251.4
898.9,
832.6,871.1
551.4,595.7
598.5,
619.8,
1042.8,1071.9
497,543.5
376.7,
1458.9,1503.2
1415.7,
1039.1,1074.1
576.8,
580.4,628.3
680.4,722.7
1699.9,1737.4
956.9,995.6
1091.2,1129.8
566.6,604.3
648.5,697.1
1056.7,1092.1
741.5,790.5
1298.3,1342.5
469.8,513.1
785.2,826.7
474.2,511.6
658.5,698.6
925.4,962.4
792.8,829.9
598.6,647.1
947.9,987.3
1187,1226.7
1843.7,1874.2
1663.5,1702.2
723.2,765.8
392.7,440.5
877.8,920.8
913,947.9
1829.5,1864.9
688,725.5
471.1,
873.9,
558.1,603.4
597.1,638
1541.9,
1454.9,1494.1
520.4,569.3
552.8,603.1
1411.1,1449.6
1451.3,1490.5
902.8,938.3
494.8,535.5
1369.6,1402.6
765.1,807.4
539.8,583.5
1077.2,1118.3
1289.5,1329.5
904.2,948.2
1693.7,1729.5
869.5,901.8
801.1,847.8
779.6,819.5
1518,1552.6
1020.6,1060.4
1036.3,1074.9
738.1,779.4
1146.9,1190
1221,1253.4
368.6,
1058.8,1098.8
775.4,806.6
1537,1569.4
1380.2,1417.3
628.4,
881.1,918.9
724.8,763.1
741.2,779.9
925.3,963.8
606.7,654.8
742.1,785.9
703.7,747.7
728.2,778.2
592.5,615.6
494.5,543.4
1896.1,1934.8
951.2,987.5
1559.4,1595.4
984.3,1030.4
1026.8,1069.2
628.4,
1457.7,1495.7
438.5,
1794.2,1834.4
213.9,
653.5,692
654.9,692.5
1421,1462.8
466.3,
797.3,846.6
1663,1703.8
2293.1,2332.9
836.6,876.2
522,
754,
762.8,805.7
1096.3,1128.7
591.1,638
796.7,837.9
1349.2,1382.8
737.8,775.7
359.2,
681.9,730
753.3,792.2
701.8,746.7
1115.5,1157.4
427,476.4
1939.1,1970.6
1555.6,1583.2
2618.1,2658.1
254.1,
1283.2,1324.5
1179.8,1224.1
1173.7,1217
681.3,730.2
1383.5,1423.9
623.8,657.1
624.9,669.3
1646.1,1673.5
587.8,
802.6,844.6
1251.5,1277.9
1654.5,1685.4
458.8,501.8
497.3,
1442.5,1481.4
1710.3,1750.1
1173.4,1210.2
782,816.6
336.3,
785.6,
969.8,1000.3
265.7,
945.6,982
1132.8,1179.4
943.8,975.3
1106.8,1136.1
831.9,870.6
933.3,964.8
2180.1,2221.3
611.9,
791.2,834.5
1104.8,1141.4
1043.2,1071.2
1249.5,1275.7
1615.5,1652.1
2034.3,2069.3
705.2,753.3
1775.9,1818.1
1010.5,1044.1
1687.9,1724.3
527.8,574.9
1563.6,1600.6
787.4,826.1
601.7,649.4
953.2,997
964.1,1002.5
559.2,603.6
1407.7,1438.1
967.8,1004
1096.2,1127.9
472.2,
616,663.8
395.2,
325.2,375.1
308,350.6
966.2,1001.5
507,548.6
657.5,702.1
1289.8,1319.1
1902.4,1940.5
1341.4,1370.7
813.6,859.4
547.4,589.3
1460.3,1491.4
1280.2,1313.5
1510,1546.5
694.7,735.6
871.4,912.9
1279.1,1307.8
1162.4,1208.9
606.9,652
629.4,
860.5,894.8
735.8,783.5
1518.2,1549.1
1630.7,1664.1
274.3,317
391.1,
1347.9,1377.8
638.4,681.5
922.5,958.7
1803.7,1840.6
1754,1784.9
678.6,711.4
472.2,513.5
525.2,
796.8,833.5
1203.5,1235.2
798.4,843.6
486.5,520.2
613.3,648.3
724.9,756.7
763.1,803.2
1851.5,1885.7
990.8,1031.8
1157.5,1194.4
992.5,1027.9
1024.8,1063.9
691.5,738.8
1277.9,1318
1325.2,1359.6
1355.4,1385.9
912.5,949.6
757.9,795.8
1296.8,1328.7
419.6,458.6
516.9,553.3
537.3,574.4
531.5,
1616.9,1649.3
579.7,626.7
970.6,1002.8
1556.7,1586.4
460,
767.5,808.3
825.2,866.7
328.4,370.3
551.1,
744.5,
481.6,
449,492.8
293.9,340.7
430.6,465.4
499.9,544.9
478.7,
343.2,380.9
389.8,434.5
449.7,495.1
449.8,
599.5,643.1
581,622.3
1053.6,1086.3
415.6,458.1
594.2,634.2
432.3,
936.3,978.3
1240.2,1275.2
593.9,
558.1,591.9
1128.2,1166.6
629.1,673.2
805.7,841.2
565.5,612.3
495.9,
805.1,846.5
650.5,685.8
641.9,683.9
742.4,785.6
535.3,576.8
767.7,803.9
688.8,721.7
1074.9,1114.7
560.5,606.7
736.2,775.3
517.7,566.1
1284.9,1331.4
609.9,653.5
393.5,436.1
365,
704.5,744.1
514.5,553.9
842.5,880.9
387,
423.8,
532.3,579.6
852.2,893.5
420.6,458
414.8,450.3
746.5,782.2
889.4,929.6
747.8,
313.4,361.3
361.4,407.8
536.4,568
721.5,758.8
635.5,665.6
763.9,801.4
616.4,659.9
489.1,
741.1,782.7
435.4,470.7
321.2,
350.4,
389.8,
987.7,1030.1
1615.3,
1598.4,
275.6,
1498.5,
397.2,447.6
1423.1,1465.2
1809.6,1850
512.4,
1361.5,1392.8
806,855.6
402.1,
1535.3,1574.3
827.4,873.5
1195.8,1236.8
940.6,981.7
2077.6,2112
1620.7,1658.3
352.4,
905.5,949.4
381.1,
169.5,
1287.2,1322.6
332.1,
294.1,
249.7,300
755.7,790.8
1115.3,1144
1237.5,1263.9
970.7,1001.4
1024.3,1052.9
1316.7,
248.3,291
276,
639.4,
2307.8,2338.9
355,
262.3,
323.2,
719.7,
261.2,311.3
952.1,987.2
265.4,
941.6,982.4
837.9,882.6
1316.6,1356.3
970.6,997.7
1570.9,1598.7
1274.8,1305.8
1952.8,1986.9
462.9,
1198.6,1227.1
637.8,676.9
1206.5,1242
1884.5,1913.6
323.5,
732.6,769.6
1264.5,1306
561,594.7
1505.7,1545.4
983.1,1014.9
1326.5,1362.2
1002,1038.9
1264.4,1301.5
989.5,1023
743.8,778.5
1457.2,1490.6
1339,1369.1
702.9,749.1
1119.5,1148.8
404.9,444.2
814.7,840.1
842.7,883.5
1099.6,1142.4
1047.9,1087.7
966.1,1003.5
924.3,953
2119.8,2153.9
1026.4,1061.3
1008.4,1045
1485.1,1525
256.1,
1382.6,1416.3
910.4,946.6
429.8,473.8
1592.7,1626.5
1184.8,1216.9
364.9,405.9
209.5,
1459.8,1489.5
1001.3,1038.9
1659.3,1696.2
1607.7,1646.1
350.5,384.4
277.5,323.3
868.2,899.7
550.5,592.6
436.6,484
781.7,822.5
995.2,1024.7
1101.4,1134.7
1720.7,1766.6
926.2,965.5
520.4,566.1
1171.2,1204.3
695.2,730.8
1384.7,1421.2
642.9,671.6
450.1,490.9
467.3,514.1
1074.2,1113.3
1113.6,1150.8
593,
264.7,
1701.7,1746.9
833.7,
220.4,
1162.9,1191.8
158.9,206
1096.1,1133.7
340.8,390.9
384.8,425.2
228.9,
203.8,
245,
1004.8,1035.7
276.5,320.2
963.1,
1165.9,
769,
649.4,
686.4,
840.4,
944.7,992.9
593.2,637
729.2,771.9
407.9,444
222.1,
316.3,350.3
690.7,719.2
466.2,509.5
264.3,
237.2,
,
364.4,
304.9,341
290.3,
540.1,
219.5,
180.4,
291.1,
290.7,
,
220,
708.6,
180.8,
1608.9,
1040.8,
262.5,
255.3,
505,
352.1,
174.1,
1375.6,
974.5,
963.2,
1187.5,
765.4,
358.9,
342.1,
230.1,
194.4,
973.1,
822,
401.9,
1536.6,1567.7
1179.3,1211.3
179.2,222.6
261,
220.1,
958.7,
555.5,
401.4,441.3
200.2,245.8
49.8,
619.1,656.4
530.2,569.1
405.3,448.4
,
2327.7,
43.1,82.1
100.9,
104.6,
152.7,
92.6,
79.8,
71.5,
50.6,
86.8,
51.7,96.2
50.2,
120.7,
71.5,
56.9,
,
208.9,
47.4,
39.1,
,
37.7,
33.1,
60.6,
66.3,
228.7,
928.2,
292.1,
122.5,
643.9,
417.4,
599.9,
723.9,
421.3,
71,
89.2,
611.9,
341.2,
83,
55.7,
71.1,
61.8,
87.9,
51,92.7
85.7,
61.2,
112.4,
89.8,
46.7,
,
31.5,
60.9,
52.5,
48.5,
106.9,
97.1,
21.1,
60.4,
110.3,
68.5,
86.8,
51.6,
72.5,
60,95.9
72.7,
366.4,
121.5,
86.9,
75.3,
98.2,
597.6,
90.9,
65.3,
298.5,
100.7,
,
,
87.8,
150.4,
37.8,72.9
53.6,
55.1,
81.4,
1414.1,
1390.3,
940,
1211,
1812,
1235,
1581.5,
2154.6,
702.8,
739.5,
439.5,
,
916.3,
1236.4,
1096.2,
78.4,
,
229.3,263.9
5935.7,
882.6,898.9
641.2,681.5
567.2,607.2
3053.8,3117.8
111.2,147.8
284.8,
224.4,
71.7,
3328.4,
5849.7,
5209.4,
4445,
56.8,
1283.1,
1179.7,
1535.9,
1436.6,
1293.9,
280,315.1
3.4,
6.8,
11.7,
68.8,
1200.7,
,
755.1,
,
4.1,
1347.1,
1618,
848.5,
1495.8,
646.5,683.3
475.1,514.1
343,382.5
282.4,322.9
180.6,223.4
575.2,611.4
424.2,460.6
925.9,
,
364.9,396.5
311.8,347.9
262.7,292.4
229.1,260.4
199.7,229.7
181.1,216.1
153.2,181.8
1063.9,
1368.1,
1512.7,
1625.7,
1356.7,
10.4,
668.5,
470.1,
1234.9,
1169.2,
1440.1,
375.6,
217.7,
152.7,
,
,
,
1.3,
127.9,
475.2,
,
1110,
,
1.9,
1644.3,
1170.7,
1825.6,
1710.4,
1584,
1092.2,
1359.5,
846.5,
946.8,
943.2,
2319.7,
1203.3,
1718.8,
1511.3,
1160,
1517.8,
2187.5,
1911.5,
1263.3,
1154.6,
1297.5,
1024,
1501.4,
1135,
1521.3,
1341.5,
910.6,
1410.6,
1427.6,
2451.5,
1058.7,
1317.5,
1554.5,
1213.5,
1152.9,
1021.8,
1207.5,
232.2,
615.1,
1317.6,
1232.4,
1094.2,
1516.6,
1124.6,
214.9,
864.5,
1949.6,1994.6
1882.7,
1221,
1289.9,
1188.1,
963.4,
95.5,
,
1133,
,
,
1167.9,
608.8,
1205.9,
1417.5,
1305.2,
1400.5,
,
1530.9,
1647.5,
940.6,
1262.4,
881.2,
1271.4,
1888.1,
2013.8,
1629.4,
1752.5,
1437.5,
1995.3,
1529.8,
2006.7,
1605.2,
779.6,
1483,
184.3,
2001.5,
1019.3,
729.8,
1319.5,
1276.7,
2113.5,
1612.6,
989.5,
1682.8,
1045.9,
1718.9,
1482.2,
1352.8,
1690.6,
1427.8,
1176,
1408.8,
1074.2,
1350.1,
2012.7,
1424.8,
1508.9,
2291.4,
1356.6,
774.4,
1188.3,
676.6,
1463.6,
1550.1,
1045.4,
1940.1,
1266.9,
1357.5,
1854.9,
931.2,
1576.2,
1432.1,
1728.9,
2156.4,
1794.3,
1385.4,
1206,
1357.3,
1281.2,
984.3,
763.9,
1334.9,
699.7,
1620.8,
1574.2,
1261.2,
1451,
890.9,
1203.5,
1406,
1821.8,
1178.6,
1565.5,
886.8,
1179.5,
2154,
3.2,
,
4.5,
,
2.8,
6.5,
,
34.7,
425.6,462.1
276.4,315.8
117.9,161.4
1362.3,
1412.1,
1168,
1203.3,
654.5,
348.1,
1705.5,
1336,
1133.5,
1441.9,
1304.4,
944.5,
984.8,
442.6,474.8
382,415.4
331.9,365.9
